Segmento,SubSegmento,Associada,Grupo,Marca,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Automóveis,Todos,Empresas associadas à Anfavea,Audi,Audi,406,830,376,126,256,669,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,BMW,BMW,790,920,794,293,536,1269,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,BMW,Mini,108,107,106,30,41,134,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Caoa - Hyundai,Caoa Chery,1684,1923,1927,422,396,1036,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Caoa - Hyundai,Hyundai,525,497,500,102,142,401,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Caoa - Hyundai,Subaru,33,24,63,0,1,33,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,FCA,Chrysler,2,1,1,1,1,4,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,FCA,Dodge,15,10,11,5,4,12,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,FCA,Fiat,13782,15061,13565,3644,4336,8579,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,FCA,Jeep,8666,10086,7576,2262,2577,7370,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Ford,Ford,12793,13759,12839,3369,3021,6029,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,General Motors,General Motors,32408,32109,23123,8386,8237,17296,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Honda Automóveis,Honda Automóveis,8412,8722,6944,1500,2433,6298,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,HPE,Mitsubishi,669,594,574,172,267,552,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,HPE,Suzuki,249,257,181,83,102,174,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Hyundai Motor,Hyundai Motor,12360,15520,12303,4154,4165,10666,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Jaguar Land Rover,Jaguar,108,135,124,27,16,94,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Jaguar Land Rover,Land Rover,505,554,450,140,171,579,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Mahindra,Mahindra,0,0,0,0,0,0,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Mercedes-Benz,Mercedes-Benz,653,710,619,184,227,739,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Mercedes-Benz,Smart,0,0,0,0,0,0,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Nissan,Nissan,6356,7590,5578,1229,1263,3227,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Peugeot Citroën,Peugeot,974,878,652,136,222,616,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Peugeot Citroën,Citroën,1491,1712,972,328,426,1060,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Renault,Renault,13630,13274,10808,3831,4222,9245,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Toyota,Toyota,11804,11641,8856,3029,3200,5954,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Toyota,Lexus,86,110,59,13,28,56,0,0,0,0,0,0
Automóveis,Todos,Empresas associadas à Anfavea,Volkswagen,Volkswagen,24639,26511,21143,5607,7290,19027,0,0,0,0,0,0
Automóveis,Todos,Outras empresas,Outra,Outra,1433,1615,1131,428,557,1285,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Agrale,Agrale,0,0,0,0,0,0,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Audi,Audi,0,0,0,0,0,0,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Caoa,Hyundai,396,429,379,159,216,368,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Caoa,Subaru,0,0,0,0,0,0,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,FCA,Dodge,0,2,0,0,0,0,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,FCA,Fiat,12115,11482,10136,3874,4437,8066,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Ford,Ford,1642,1323,1561,1072,1400,1737,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,General Motors,General Motors,2675,2039,2378,1622,1732,2463,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,HPE (Mitsubishi),HPE (Mitsubishi),622,650,713,432,601,606,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Iveco,Iveco,245,288,255,43,54,299,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Jaguar Land Rover ( Land Rover),Jaguar Land Rover ( Land Rover),0,0,0,0,1,0,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Mahindra,Mahindra,231,289,244,59,77,395,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Mercedes-Benz,Mercedes-Benz,978,898,660,213,264,480,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Nissan,Nissan,673,765,580,501,349,708,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Peugeot Citroën,Peugeot,318,373,232,90,93,184,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Peugeot Citroën,Citroën,213,205,170,41,110,116,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Renault,Renault,1800,1171,705,405,290,561,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Toyota,Toyota,3311,3127,2971,1762,1445,1714,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Volkswagen,Volkswagen,4608,4826,3812,1605,1402,2456,0,0,0,0,0,0
Comerciais leves,Todos,Outras empresas,Outra,Outra,274,282,233,84,97,238,0,0,0,0,0,0
Caminhões,Semileves,Empresas associadas à Anfavea,Agrale,Agrale,0,0,0,0,0,0,0,0,0,0,0,0
Caminhões,Semileves,Empresas associadas à Anfavea,FCA (Dodge),FCA (Dodge),284,86,15,64,124,230,0,0,0,0,0,0
Caminhões,Semileves,Empresas associadas à Anfavea,Ford,Ford,13,3,3,1,1,2,0,0,0,0,0,0
Caminhões,Semileves,Empresas associadas à Anfavea,Iveco,Iveco,17,15,9,13,16,32,0,0,0,0,0,0
Caminhões,Semileves,Empresas associadas à Anfavea,MAN,MAN (Volkswagen Caminhões e Ônibus),39,44,30,36,24,60,0,0,0,0,0,0
Caminhões,Semileves,Empresas associadas à Anfavea,Mercedes-Benz,Mercedes-Benz,162,142,120,74,92,184,0,0,0,0,0,0
Caminhões,Semileves,Empresas associadas à Anfavea,Peugeot Citroën,Peugeot,10,10,7,4,6,3,0,0,0,0,0,0
Caminhões,Semileves,Empresas associadas à Anfavea,Peugeot Citroën,Citroën,17,5,6,10,2,12,0,0,0,0,0,0
Caminhões,Semileves,Outras empresas,Outra,Outra,2,4,0,0,1,2,0,0,0,0,0,0
Caminhões,Leves,Empresas associadas à Anfavea,Agrale,Agrale,2,0,1,0,0,0,0,0,0,0,0,0
Caminhões,Leves,Empresas associadas à Anfavea,Caoa - Hyundai,Caoa - Hyundai,8,11,9,5,19,14,0,0,0,0,0,0
Caminhões,Leves,Empresas associadas à Anfavea,Ford,Ford,39,34,22,11,16,8,0,0,0,0,0,0
Caminhões,Leves,Empresas associadas à Anfavea,Iveco,Iveco,50,37,50,58,39,59,0,0,0,0,0,0
Caminhões,Leves,Empresas associadas à Anfavea,MAN,MAN (Volkswagen Caminhões e Ônibus),256,280,249,120,157,293,0,0,0,0,0,0
